Subject,Investment_Amount,Multiplier,Prop_Returned,Returned,Second_Order_Expectation,Fairness,Soc1,Soc2,Trial
129,6,4,0.416666667,10,12,12.0,12.0,11.0,6_4__3
129,1,4,0.25,1,2,2.0,2.0,1.0,1_4
129,5,4,0.5,10,10,10.0,10.0,9.0,5_4__2
129,5,6,0.3,9,10,15.0,15.0,10.0,5_6__2
129,3,4,0.333333333,4,6,6.0,6.0,5.0,3_4__4
129,3,2,0.5,3,6,3.0,3.0,2.0,3_2__2
129,5,4,0.5,10,10,10.0,10.0,9.0,5_4__3
129,8,4,0.5,16,16,16.0,16.0,15.0,8_4
129,5,6,0.3,9,10,15.0,15.0,10.0,5_6__3
129,4,6,0.208333333,5,8,12.0,12.0,8.0,4_6__2
129,8,6,0.291666667,14,16,24.0,24.0,16.0,8_6
129,8,4,0.40625,13,16,16.0,16.0,15.0,8_4__2
129,7,2,0.5,7,14,7.0,7.0,6.0,7_2
129,4,4,0.3125,5,8,8.0,8.0,7.0,4_4__2
129,5,2,0.5,5,10,5.0,5.0,4.0,5_2__3
129,10,2,0.5,10,20,10.0,10.0,9.0,10_2
129,6,2,0.5,6,12,6.0,6.0,5.0,6_2__2
129,8,4,0.5,16,16,16.0,16.0,15.0,8_4__3
129,2,4,0.25,2,4,4.0,4.0,3.0,2_4__3
129,10,4,0.5,20,20,20.0,20.0,19.0,10_4__3
129,2,4,0.25,2,4,4.0,4.0,3.0,2_4__4
129,5,2,0.5,5,10,5.0,5.0,4.0,5_2__4
129,6,6,0.305555556,11,12,18.0,18.0,12.0,6_6
129,6,4,0.5,12,12,12.0,12.0,11.0,6_4__4
129,10,2,0.5,10,20,10.0,10.0,9.0,10_2__2
129,6,6,0.388888889,14,12,18.0,18.0,12.0,6_6__2
129,9,6,0.296296296,16,18,27.0,27.0,18.0,9_6
129,5,4,0.5,10,10,10.0,10.0,9.0,5_4__4
129,6,2,0.5,6,12,6.0,6.0,5.0,6_2__3
129,2,2,0.5,2,4,2.0,2.0,1.0,2_2__2
129,5,4,0.5,10,10,10.0,10.0,9.0,5_4__5
129,1,4,0.25,1,2,2.0,2.0,1.0,1_4__2
129,5,4,0.5,10,10,10.0,10.0,9.0,5_4__6
129,3,6,0.222222222,4,6,9.0,9.0,6.0,3_6
129,4,4,0.3125,5,8,8.0,8.0,7.0,4_4__3
129,5,4,0.5,10,10,10.0,10.0,9.0,5_4__7
129,4,4,0.3125,5,8,8.0,8.0,7.0,4_4__4
129,5,4,0.5,10,10,10.0,10.0,9.0,5_4__8
129,3,6,0.277777778,5,6,9.0,9.0,6.0,3_6__2
129,4,6,0.291666667,7,8,12.0,12.0,8.0,4_6__3
129,10,6,0.3,18,20,30.0,30.0,20.0,10_6__2
129,10,4,0.5,20,20,20.0,20.0,19.0,10_4__4
129,4,2,0.5,4,8,4.0,4.0,3.0,4_2__2
129,1,2,0.5,1,2,1.0,1.0,1.0,1_2
129,5,6,0.3,9,10,15.0,15.0,10.0,5_6__4
129,9,2,0.5,9,18,9.0,9.0,8.0,9_2
129,10,6,0.3,18,20,30.0,30.0,20.0,10_6__3
129,1,6,0.166666667,1,2,3.0,3.0,2.0,1_6
129,9,4,0.5,18,18,18.0,18.0,17.0,9_4__2
129,9,4,0.5,18,18,18.0,18.0,17.0,9_4__3
130,2,6,0.333333333,4,2,3.0,1.0,1.0,2_6
130,7,2,0.214285714,3,13,5.0,5.0,5.0,7_2
130,3,4,0.5,6,3,3.0,3.0,3.0,3_4
130,2,2,0.25,1,2,1.0,0.0,1.0,2_2
130,5,4,0.5,10,8,8.0,7.0,7.0,5_4
130,5,4,0.5,10,8,8.0,7.0,7.0,5_4__2
130,8,4,0.5,16,15,15.0,15.0,15.0,8_4
130,8,4,0.5,16,15,15.0,15.0,15.0,8_4__2
